02/05/2020, 23:16:31
CAD: 1.33
HKD: 7.76
ISK: 125.28
PHP: 50.77
DKK: 6.78
HUF: 304.6
CZK: 22.73
GBP: 0.77
RON: 4.33
SEK: 9.57
IDR: 13641.0
INR: 71.15
BRL: 4.23
RUB: 62.63
HRK: 6.76
JPY: 109.72
THB: 30.97
CHF: 0.97
EUR: 0.91
MYR: 4.12
BGN: 1.77
TRY: 5.99
CNY: 6.97
NOK: 9.18
NZD: 1.54
ZAR: 14.72
USD: 1.0
MXN: 18.59
SGD: 1.38
AUD: 1.48
ILS: 3.45
KRW: 1182.05
PLN: 3.85
